ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB22528,CL(18:1(9Z)/16:0/19:0cycv8c/18:1(9Z)),,,5.039e-05,0.05039± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22529,CL(18:1(9Z)/16:0/19:0cycv8c/19:0cycv8c),,,9.746e-05,0.09746± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22532,CL(18:1(9Z)/16:0/17:0cycw7c/18:1(9Z)),,,4.083e-05,0.04083± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22534,CL(18:1(9Z)/16:0/17:0cycw7c/17:0cycw7c),,,5.457e-05,0.05457± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22536,CL(18:1(9Z)/16:0/14:0/18:1(9Z)),,,3.9070000000000004e-05,0.03907± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22539,CL(18:1(9Z)/16:0/14:0/14:0),,,3.935e-05,0.03935± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22547,CL(18:1(9Z)/16:1(9Z)/16:1(9Z)/19:0cycv8c),,,4.991e-05,0.04991± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22548,CL(18:1(9Z)/16:1(9Z)/16:1(9Z)/17:0cycw7c),,,4.892e-05,0.04892± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22549,CL(18:1(9Z)/16:1(9Z)/16:1(9Z)/14:0),,,5.732e-05,0.05732± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22550,CL(18:1(9Z)/16:1(9Z)/18:1(9Z)/18:1(9Z)),,,8.42e-05,0.0842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22551,CL(18:1(9Z)/16:1(9Z)/18:1(9Z)/19:0cycv8c),,,6.0650000000000004e-05,0.06065± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22552,CL(18:1(9Z)/16:1(9Z)/18:1(9Z)/17:0cycw7c),,,4.991e-05,0.04991± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
